date,open,high,low,close,volume
2019-10-24,262.75,265.25,261.1000061035156,263.95001220703125,108200
2019-10-25,264.0,265.5,261.29998779296875,264.8999938964844,118400
2019-10-29,264.75,268.5,264.3500061035156,267.29998779296875,92400
2019-10-30,268.20001220703125,268.6499938964844,265.1499938964844,265.8500061035156,94700
2019-10-31,270.04998779296875,272.5,268.3999938964844,269.0,202400
2019-11-01,270.6000061035156,273.3500061035156,268.95001220703125,271.1499938964844,70600
2019-11-04,272.70001220703125,273.45001220703125,268.75,269.6000061035156,100100
2019-11-05,269.1499938964844,270.95001220703125,266.6000061035156,267.70001220703125,139600
2019-11-06,271.45001220703125,275.95001220703125,271.1000061035156,274.04998779296875,209400
2019-11-07,282.6000061035156,282.6000061035156,275.20001220703125,276.45001220703125,281100
2019-11-08,278.3500061035156,284.95001220703125,278.20001220703125,281.04998779296875,555000
2019-11-11,279.54998779296875,284.04998779296875,279.1499938964844,283.3999938964844,211900
2019-11-13,284.45001220703125,286.1499938964844,277.20001220703125,278.29998779296875,282100
2019-11-14,278.25,278.8500061035156,276.29998779296875,277.6499938964844,156700
2019-11-15,277.75,279.20001220703125,276.04998779296875,276.95001220703125,179100
2019-11-18,277.5,278.75,275.79998779296875,277.8999938964844,152500
2019-11-19,279.0,279.29998779296875,276.70001220703125,278.04998779296875,132000
2019-11-20,278.1499938964844,278.95001220703125,273.3500061035156,273.95001220703125,126500
2019-11-21,275.0,276.29998779296875,272.25,275.45001220703125,154000
2019-11-22,275.54998779296875,276.6000061035156,273.75,275.8500061035156,114400
2019-11-25,278.25,282.70001220703125,277.95001220703125,280.70001220703125,279700
2019-11-26,281.75,282.6499938964844,275.54998779296875,278.1000061035156,776100
2019-11-27,277.29998779296875,280.6000061035156,274.45001220703125,276.29998779296875,103900
2019-11-28,277.45001220703125,280.0,276.3500061035156,279.29998779296875,161100
2019-11-29,280.1000061035156,284.0,278.6000061035156,282.04998779296875,189700
2019-12-02,281.70001220703125,282.29998779296875,277.95001220703125,281.04998779296875,97700
2019-12-03,281.6000061035156,285.54998779296875,280.25,284.79998779296875,145800
2019-12-04,283.6499938964844,286.45001220703125,281.8999938964844,285.3500061035156,138200
2019-12-05,285.70001220703125,287.70001220703125,284.1499938964844,285.8500061035156,133500
2019-12-06,286.70001220703125,286.8999938964844,281.1000061035156,283.3999938964844,113300
2019-12-09,283.5,284.8500061035156,278.8999938964844,280.45001220703125,110300
2019-12-10,278.8500061035156,280.3999938964844,277.04998779296875,277.8999938964844,107200
2019-12-11,278.6499938964844,282.3999938964844,277.70001220703125,280.5,147700
2019-12-12,282.5,283.70001220703125,280.0,282.8999938964844,139100
2019-12-13,284.1499938964844,288.54998779296875,284.1499938964844,287.6499938964844,180900
2019-12-16,287.1499938964844,289.8500061035156,287.04998779296875,289.3500061035156,97000
2019-12-17,289.45001220703125,290.6499938964844,287.6499938964844,288.6000061035156,86600
2019-12-18,289.0,290.95001220703125,287.20001220703125,290.54998779296875,112900
2019-12-19,289.8500061035156,291.1499938964844,288.3999938964844,290.3999938964844,66200
2019-12-20,290.6499938964844,292.70001220703125,289.6000061035156,291.95001220703125,93500
2019-12-23,291.70001220703125,294.25,288.45001220703125,290.70001220703125,98200
2019-12-24,290.75,292.54998779296875,290.3500061035156,291.95001220703125,74700
2019-12-26,292.3999938964844,293.04998779296875,290.25,291.3999938964844,65300
2019-12-27,291.5,296.8999938964844,291.20001220703125,296.1000061035156,89000
2019-12-30,296.8999938964844,297.79998779296875,293.95001220703125,296.45001220703125,66600
2019-12-31,296.1499938964844,299.04998779296875,295.79998779296875,298.54998779296875,139500
2020-01-01,299.45001220703125,300.6499938964844,296.8999938964844,297.8500061035156,128800
2020-01-02,299.1499938964844,302.3999938964844,298.20001220703125,301.0,122400
2020-01-03,300.70001220703125,302.1499938964844,298.3500061035156,299.6499938964844,97100
2020-01-06,299.1000061035156,299.75,292.04998779296875,292.3999938964844,171600
2020-01-07,294.3999938964844,298.95001220703125,293.95001220703125,298.04998779296875,102900
2020-01-08,292.25,297.8999938964844,291.3500061035156,297.04998779296875,133800
2020-01-09,300.6499938964844,305.79998779296875,300.20001220703125,305.1499938964844,181000
2020-01-10,308.04998779296875,311.75,305.8999938964844,310.6499938964844,232400
2020-01-13,312.0,317.6499938964844,311.8500061035156,317.1499938964844,216000
2020-01-14,317.3500061035156,318.45001220703125,314.6499938964844,316.75,131200
2020-01-15,315.6000061035156,322.6499938964844,315.6000061035156,320.8999938964844,152900
2020-01-16,321.75,324.79998779296875,320.70001220703125,323.79998779296875,109300
2020-01-17,323.25,325.04998779296875,322.3500061035156,324.1499938964844,105600
2020-01-20,324.95001220703125,327.0,323.20001220703125,325.79998779296875,143700
2020-01-21,325.1499938964844,325.29998779296875,320.1000061035156,321.1499938964844,100
2020-01-22,322.6499938964844,323.04998779296875,318.8500061035156,320.8500061035156,100
2020-01-23,321.3500061035156,328.04998779296875,321.1499938964844,327.6499938964844,112400
2020-01-24,329.20001220703125,330.25,326.79998779296875,328.6499938964844,112500
2020-01-27,328.79998779296875,332.3999938964844,325.54998779296875,326.79998779296875,115500
2020-01-28,326.79998779296875,329.25,325.20001220703125,326.95001220703125,112500
2020-01-29,329.45001220703125,331.8500061035156,327.6000061035156,328.5,93900
2020-01-30,329.75,330.04998779296875,323.54998779296875,327.1499938964844,98000
2020-01-31,329.8500061035156,331.8999938964844,326.5,331.04998779296875,194700
2020-02-03,303.5,312.54998779296875,298.70001220703125,310.0,250600
2020-02-04,310.1000061035156,322.20001220703125,308.6000061035156,318.6000061035156,227700
2020-02-05,321.3500061035156,329.95001220703125,318.75,326.3999938964844,175300
2020-02-06,324.1000061035156,329.79998779296875,322.29998779296875,326.25,236800
2020-02-07,325.79998779296875,326.79998779296875,319.45001220703125,320.29998779296875,171200
2020-02-10,320.5,321.0,315.1000061035156,317.1000061035156,112300
2020-02-11,318.8999938964844,320.8999938964844,316.25,317.79998779296875,117000
2020-02-12,318.0,318.6499938964844,311.3999938964844,315.20001220703125,100900
2020-02-13,315.75,316.70001220703125,311.79998779296875,313.79998779296875,94200
2020-02-14,314.95001220703125,315.3999938964844,309.04998779296875,310.29998779296875,108300
2020-02-17,311.95001220703125,312.5,304.1499938964844,305.70001220703125,124000
